Model,SeriesID,SeriesName,Frequency,Block1-Global,Block2-Soft,Block3-Real,Block4-Labor,Transformation,Units,Category
1,PAYEMS,Payroll Employment,m,1,0,0,1,chg,Thousands of Persons,Labor
1,JTSJOL,Job Openings,m,1,0,0,1,chg,Thousands,Labor
1,GDPC1,Real Gross Domestic Product,q,1,0,1,0,pca,"Chained $, Billions",National Accounts
1,CPIAUCSL,Consumer Price Index,m,1,0,0,0,pch,Index,Prices
1,DGORDER,Durable Goods Orders,m,1,0,1,0,pch,"$, Millions",Manufacturing
0,HSN1F,New Home Sales,m,1,0,1,0,pch,Thousands,Housing and Construction
1,RSAFS,Retail Sales,m,1,0,1,0,pch,"$, Millions",Retail and Consumption
1,UNRATE,Unemployment Rate,m,1,0,0,1,chg,%,Labor
1,HOUST,Housing Starts,m,1,0,1,0,pch,Thousands of Units,Housing and Construction
1,INDPRO,Industrial Production,m,1,0,1,0,pch,Index,Manufacturing
0,PPIFIS,Producer Price Index,m,1,0,0,0,pch,Index,Prices
1,DSPIC96,Personal Income,m,1,0,1,0,pch,"Chained $, Billions",National Accounts
1,BOPTEXP,Exports,m,1,0,1,0,pch,"$, Millions",International Trade
1,BOPTIMP,Imports,m,1,0,1,0,pch,"$, Millions",International Trade
0,WHLSLRIMSA,Wholesale Inventories,m,1,0,1,0,pch,"$, Millions",Manufacturing
1,TTLCONS,Construction Spending,m,1,0,1,0,pch,"$, Millions",Housing and Construction
1,IR,Import Price Index,m,1,0,0,0,pch,Index,International Trade
1,CPILFESL,Core Consumer Price Index,m,1,0,0,0,pch,Index,Prices
1,PCEPILFE,Core PCE Price Index,m,1,0,0,0,pch,Index,Prices
1,PCEPI,PCE Price Index,m,1,0,0,0,pch,Index,Prices
1,PERMIT,Building Permits,m,1,0,1,0,chg,Thousands of Units,Housing and Construction
1,TCU,Capacity Utilization Rate,m,1,0,1,0,chg,%,Manufacturing
1,BUSINV,Business Inventories,m,1,0,1,0,pch,"$, Millions",International Trade
1,ULCNFB,Unit Labor Cost,q,1,0,0,1,pca,Index,Labor
1,IQ,Export Price Index,m,1,0,0,0,pch,Index,International trade
1,GACDISA066MSFRBNY,Empire State Mfg Index,m,1,1,0,0,lin,Index,Surveys
1,PCEC96,Real Consumption Spending,m,1,0,1,0,pch,"Chained $, Billions",Retail and Consumption
0,A261RX1Q020SBEA,Real Gross Domestic Income,q,1,0,1,0,pca,"Chained $, Billions",National Accounts
1,GACDFSA066MSFRBPHI,Philadelphia Fed Mfg Index,m,1,1,0,0,lin,Index,Surveys
